Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Croatia,Biogas,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,4.50,4.50,6.50,8.50,11.50,16.50,16.50,27.50,36.50,44.60,50.60,51.90,55.10,55.10,
Croatia,Geothermal,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,
Cyprus,Total renewable energy,Electricity capacity (MW),0.00,0.00,0.00,0.00,1.23,1.23,1.23,2.23,9.23,12.23,97.23,153.23,173.23,192.23,221.23,243.73,251.73,277.52,288.92,321.70,399.58,486.44,
Cyprus,Hydropower,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Renewable hydropower,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Wind,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.23,0.23,0.23,0.23,0.23,0.23,82.23,134.23,147.23,147.23,147.23,157.73,157.73,157.73,157.73,157.73,157.73,157.73,
Cyprus,Onshore wind energy,Electricity capacity (MW),,,,,0.23,0.23,0.23,0.23,0.23,0.23,82.23,134.23,147.23,147.23,147.23,157.73,157.73,157.73,157.73,157.73,157.73,157.73,
Cyprus,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Solar,Electricity capacity (MW),0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,4.00,7.00,10.00,17.00,35.00,64.00,76.00,84.00,110.05,118.48,151.26,229.13,316.00,
Cyprus,Solar photovoltaic,Electricity capacity (MW),0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,4.00,7.00,10.00,17.00,35.00,64.00,76.00,84.00,110.05,118.48,151.26,229.13,316.00,
Cyprus,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bioenergy,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,8.00,8.00,9.00,9.00,10.00,10.00,10.00,10.00,9.75,12.72,12.72,12.72,12.72,
Cyprus,Solid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Renewable municipal waste,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Other solid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Biogas,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,8.00,8.00,9.00,9.00,10.00,10.00,10.00,10.00,9.75,12.72,12.72,12.72,12.72,
Cyprus,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Czechia,Total renewable energy,Electricity capacity (MW),1048.59,1094.59,1101.09,1109.40,1161.40,1182.09,1237.84,1369.26,1504.00,2046.10,3399.50,3680.50,3997.50,4095.00,4169.90,4214.40,4212.40,4271.91,4265.29,4349.05,4401.56,4415.46,
Czechia,Hydropower,Electricity capacity (MW),2097.00,2145.00,2145.00,2149.00,2160.00,2167.00,2163.00,2171.00,2176.00,2184.00,2196.00,2197.00,2212.00,2252.00,2252.00,2260.00,2262.00,2264.70,2264.02,2265.21,2265.43,2282.83,
Czechia,Renewable hydropower,Electricity capacity (MW),952.00,1000.00,1000.00,1004.00,1015.00,1020.00,1016.00,1024.00,1029.00,1037.00,1049.00,1050.00,1065.00,1080.00,1080.00,1088.00,1090.00,1092.70,1092.52,1093.71,1093.93,1111.33,
Czechia,Pumped storage,Electricity capacity (MW),1145.00,1145.00,1145.00,1145.00,1145.00,1147.00,1147.00,1147.00,1147.00,1147.00,1147.00,1147.00,1147.00,1172.00,1172.00,1172.00,1172.00,1172.00,1171.50,1171.50,1171.50,1171.50,
Czechia,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Czechia,Wind,Electricity capacity (MW),2.00,0.00,6.40,10.60,16.50,22.00,43.50,113.80,150.00,193.00,213.00,213.00,258.00,262.00,278.00,281.00,282.00,308.21,316.20,339.41,339.42,339.42,
Czechia,Onshore wind energy,Electricity capacity (MW),2.00,,6.40,10.60,16.50,22.00,43.50,113.80,150.00,193.00,213.00,213.00,258.00,262.00,278.00,281.00,282.00,308.21,316.20,339.41,339.42,339.42,
Czechia,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Czechia,Solar,Electricity capacity (MW),0.10,0.10,0.20,0.30,0.40,0.59,0.84,3.96,39.50,464.60,1727.00,1913.00,2022.00,2063.50,2067.40,2074.90,2067.90,2069.50,2075.07,2086.42,2122.71,2119.21,
