UNIT,Unit,COUNTRY,Country,FLOW,Flow,PRODUCT,Product,TIME,Time,Value,Flag Codes,Flags
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2009,2009,6.4979,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2010,2010,2.399,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2011,2011,0.9169,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2012,2012,6.343,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2013,2013,8.742,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2014,2014,11.0532,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2015,2015,15.0557,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2016,2016,18.6103,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2017,2017,17.2454,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2018,2018,18.0325,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2019,2019,17.639,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,GEOTHERM,Geothermal,2020,2020,,L,Missing value; data exist but were not collected
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2001,2001,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2002,2002,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2003,2003,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2004,2004,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2005,2005,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2006,2006,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2007,2007,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2008,2008,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2009,2009,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2010,2010,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2011,2011,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2012,2012,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2013,2013,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2014,2014,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2015,2015,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2016,2016,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2017,2017,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2018,2018,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2019,2019,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARPV,Solar Photovoltaics,2020,2020,,M,Missing value; data cannot exist
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARTH,Solar Thermal,2001,2001,599.6879,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARTH,Solar Thermal,2002,2002,641.5894,,
TJ,Terajoule,CHE,Switzerland,TFC,Total final consumption,SOLARTH,Solar Thermal,2003,2003,680.6858,,
