Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,Biogas,Electricity generation (GWh),98.00,127.00,137.00,174.00,233.00,223.00,274.00,289.00,333.00,469.00,570.00,564.00,663.50,773.60,871.50,952.70,993.30,938.20,944.70,946.90,,
Belgium,Geothermal,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Total renewable energy,Electricity generation (GWh),6453.90,7180.40,5851.80,5457.80,7632.60,7060.50,6647.00,4743.00,5840.90,7488.09,9298.42,5288.02,5262.25,9275.27,9936.36,7510.20,8362.89,7115.70,9781.30,8346.80,,
Croatia,Hydropower,Electricity generation (GWh),6471.20,7218.50,5918.40,5518.10,7719.70,7140.50,6741.00,4863.80,5890.50,7493.40,9232.30,5161.79,4998.90,8727.00,9124.12,6555.64,7057.60,5507.70,7784.90,5932.60,,
Croatia,Renewable hydropower,Electricity generation (GWh),6452.90,7180.40,5851.80,5457.80,7626.60,7036.50,6617.00,4700.10,5780.00,7408.80,9126.20,5031.89,4837.10,8621.70,9006.22,6390.64,6852.10,5307.40,7700.90,5826.10,,
Croatia,Pumped storage,Electricity generation (GWh),18.30,38.10,66.60,60.30,93.10,104.00,124.00,163.70,110.50,84.60,106.10,129.90,161.80,105.30,117.90,165.00,205.50,200.30,84.00,106.50,,
Croatia,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Wind,Electricity generation (GWh),0.00,0.00,0.00,0.00,2.00,10.00,19.00,34.90,39.90,54.20,139.10,201.00,328.75,517.29,729.97,796.30,1014.25,1204.00,1335.40,1467.30,,
Croatia,Onshore wind energy,Electricity generation (GWh),0.00,0.00,0.00,0.00,2.00,10.00,19.00,34.90,39.90,54.20,139.10,201.00,328.75,517.29,729.97,796.30,1014.25,1204.00,1335.40,1467.30,,
Croatia,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Solar,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.14,2.40,11.28,35.17,57.26,65.54,78.70,74.90,83.10,,
Croatia,Solar photovoltaic,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.14,2.40,11.28,35.17,57.26,65.54,78.70,74.90,83.10,,
Croatia,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Bioenergy,Electricity generation (GWh),1.00,0.00,0.00,0.00,4.00,14.00,11.00,8.00,21.00,25.00,33.00,55.00,94.00,125.00,165.00,266.00,431.00,525.60,668.10,878.40,,
Croatia,Solid biofuels,Electricity generation (GWh),1.00,0.00,0.00,0.00,4.00,3.00,5.00,3.00,2.00,3.00,3.00,19.00,37.00,48.00,50.00,89.00,194.00,215.90,313.20,477.20,,
Croatia,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Renewable municipal waste,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Other solid biofuels,Electricity generation (GWh),1.00,0.00,0.00,0.00,4.00,3.00,5.00,3.00,2.00,3.00,3.00,19.00,37.00,48.00,50.00,89.00,194.00,215.90,313.20,477.20,,
Croatia,Liquid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Croatia,Biogas,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,11.00,6.00,5.00,19.00,22.00,30.00,36.00,57.00,77.00,115.00,177.00,237.00,309.70,354.90,401.20,,
Croatia,Geothermal,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,91.90,,
Cyprus,Total renewable energy,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.81,0.92,1.36,3.10,14.91,31.19,73.12,178.60,257.02,327.15,317.44,399.52,424.64,435.21,477.43,514.75,,
Cyprus,Hydropower,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Renewable hydropower,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Pumped storage,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Wind,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.36,0.36,0.36,31.73,114.67,185.48,231.04,182.85,221.86,226.70,211.45,221.04,238.57,,
Cyprus,Onshore wind energy,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.36,0.36,0.36,31.73,114.67,185.48,231.04,182.85,221.86,226.70,211.45,221.04,238.57,,
Cyprus,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Solar,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.45,0.57,1.00,1.74,2.56,3.84,6.39,11.94,21.55,47.11,83.59,126.66,145.94,172.01,199.49,218.27,,
Cyprus,Solar photovoltaic,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.45,0.57,1.00,1.74,2.56,3.84,6.39,11.94,21.55,47.11,83.59,126.66,145.94,172.01,199.49,218.27,,
Cyprus,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bioenergy,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,27.00,35.00,52.00,50.00,49.00,51.00,51.00,52.00,51.75,56.90,57.92,,
Cyprus,Solid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Renewable municipal waste,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Other solid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Liquid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Cyprus,Biogas,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,27.00,35.00,52.00,50.00,49.00,51.00,51.00,52.00,51.75,56.90,57.92,,
Cyprus,Geothermal,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Total renewable energy,Electricity generation (GWh),2283.94,2577.08,2998.13,1879.08,2741.36,3132.60,3520.69,3410.83,3730.93,4654.48,5902.67,7248.17,8064.61,9308.91,9171.64,9421.27,9384.90,9620.85,9425.32,10051.28,,
Czechia,Hydropower,Electricity generation (GWh),2313.00,2467.00,2845.00,1794.00,2562.60,3027.00,3257.30,2523.41,2376.34,2982.71,3380.58,2664.02,2860.14,3639.51,2960.75,3070.77,3202.04,3039.92,2679.42,3174.69,,
Czechia,Renewable hydropower,Electricity generation (GWh),1758.00,2054.00,2492.00,1383.00,2019.20,2379.91,2550.70,2089.60,2024.34,2429.61,2789.47,1963.15,2129.17,2734.74,1909.22,1794.81,2000.49,1869.46,1628.83,2008.03,,
Czechia,Pumped storage,Electricity generation (GWh),555.00,413.00,353.00,411.00,543.40,647.09,706.60,433.81,352.00,553.10,591.11,700.86,730.98,904.77,1051.53,1275.96,1201.55,1170.46,1050.59,1166.66,,
Czechia,Marine,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Wind,Electricity generation (GWh),0.89,0.00,2.02,4.89,9.87,21.28,49.40,125.10,244.66,288.07,335.49,397.00,415.82,480.52,476.54,572.61,496.96,591.04,609.33,700.01,,
Czechia,Onshore wind energy,Electricity generation (GWh),0.89,0.00,2.02,4.89,9.87,21.28,49.40,125.10,244.66,288.07,335.49,397.00,415.82,480.52,476.54,572.61,496.96,591.04,609.33,700.01,,
Czechia,Offshore wind energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Solar,Electricity generation (GWh),0.05,0.08,0.12,0.18,0.29,0.41,0.59,2.13,12.94,88.81,615.70,2182.02,2148.62,2032.65,2122.87,2263.85,2131.46,2193.37,2358.88,2311.57,,
Czechia,Solar photovoltaic,Electricity generation (GWh),0.05,0.08,0.12,0.18,0.29,0.41,0.59,2.13,12.94,88.81,615.70,2182.02,2148.62,2032.65,2122.87,2263.85,2131.46,2193.37,2358.88,2311.57,,
Czechia,Concentrated solar power,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Bioenergy,Electricity generation (GWh),525.00,523.00,504.00,491.00,712.00,731.00,920.00,1194.00,1449.00,1848.00,2162.00,2706.00,3371.00,4061.00,4663.00,4790.00,4756.00,4966.98,4828.28,5031.66,,
Czechia,Solid biofuels,Electricity generation (GWh),390.00,390.00,377.00,383.00,574.00,571.00,743.00,979.00,1182.00,1407.00,1527.00,1776.00,1903.00,1767.00,2080.00,2179.00,2166.00,2327.72,2221.07,2503.58,,
Czechia,Bagasse,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Renewable municipal waste,Electricity generation (GWh),8.00,9.00,10.00,10.00,10.00,11.00,12.00,11.00,11.00,11.00,35.00,90.00,86.00,84.00,88.00,87.00,99.00,114.32,100.19,104.85,,
Czechia,Other solid biofuels,Electricity generation (GWh),382.00,381.00,367.00,373.00,564.00,560.00,731.00,968.00,1171.00,1396.00,1492.00,1686.00,1817.00,1683.00,1992.00,2092.00,2067.00,2213.40,2120.88,2398.73,,
Czechia,Liquid biofuels,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Czechia,Biogas,Electricity generation (GWh),135.00,133.00,127.00,108.00,138.00,160.00,177.00,215.00,267.00,441.00,635.00,930.00,1468.00,2294.00,2583.00,2611.00,2590.00,2639.27,2607.21,2528.08,,
Czechia,Geothermal,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Denmark,Total renewable energy,Electricity generation (GWh),5572.00,5846.00,6789.00,8078.00,9519.00,9812.00,9201.00,10305.00,10096.00,10063.20,12429.38,14181.05,14837.43,15967.73,17983.68,18937.05,18390.03,21797.91,20761.11,23082.84,,
Denmark,Hydropower,Electricity generation (GWh),30.00,28.00,32.00,21.00,27.00,23.00,23.00,28.00,26.00,19.00,20.64,16.87,17.48,13.42,15.10,18.03,19.27,17.87,14.86,17.22,,
Denmark,Renewable hydropower,Electricity generation (GWh),30.00,28.00,32.00,21.00,27.00,23.00,23.00,28.00,26.00,19.00,20.64,16.87,17.48,13.42,15.10,18.03,19.27,17.87,14.86,17.22,,
Denmark,Pumped storage,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,,,
Denmark,Marine,Electricity generation (GWh),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
