Country/area,Technology,Indicator, 2 000, 2 001, 2 002, 2 003, 2 004, 2 005, 2 006, 2 007, 2 008, 2 009, 2 010, 2 011, 2 012, 2 013, 2 014, 2 015, 2 016, 2 017, 2 018, 2 019, 2 020, 2 021
,Wind,Electricity capacity (MW),  50,  67,  109,  322,  581,  825,  968,  991,  992, 1 001, 1 016, 1 106, 1 337, 1 675, 2 110, 2 489, 2 730, 2 887, 3 133, 3 224, 3 226, 3 524
,Onshore wind energy,Electricity capacity (MW),  50,  67,  109,  322,  581,  825,  968,  991,  992, 1 001, 1 016, 1 106, 1 337, 1 675, 2 110, 2 489, 2 730, 2 887, 3 133, 3 224, 3 226, 3 524
,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),  5,  7,  9,  23,  27,  21,  22,  24,  30,  49,  89,  174,  337,  626,  785,  937, 1 096, 1 269, 1 455, 1 702, 2 043, 2 692
,Solar photovoltaic,Electricity capacity (MW),  5,  7,  9,  23,  27,  21,  22,  24,  30,  49,  89,  174,  337,  626,  785,  937, 1 096, 1 269, 1 455, 1 702, 2 043, 2 692
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  810,  799,  792,  987,  994, 1 596, 1 827, 2 081, 2 106, 2 179, 2 176, 2 249, 1 672, 1 507, 1 411, 1 396, 1 393, 1 290, 1 271, 1 249, 1 251, 1 251
,Solid biofuels,Electricity capacity (MW),  786,  772,  772,  948,  948, 1 328, 1 550, 1 764, 1 765, 1 798, 1 832, 1 870, 1 393, 1 307, 1 221, 1 202, 1 188, 1 108, 1 094, 1 085, 1 086, 1 086
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),  6,  6,  6,  182,  182,  210,  215,  215,  223,  244,  243,  242,  288,  290,  262,  263,  271,  271,  270,  272,  270,  270
,Other solid biofuels,Electricity capacity (MW),  780,  766,  766,  766,  766, 1 118, 1 335, 1 549, 1 542, 1 554, 1 589, 1 628, 1 105, 1 017,  959,  939,  917,  838,  824,  813,  816,  816
,Liquid biofuels,Electricity capacity (MW),  0,  0,  2,  10,  17,  50,  54,  27,  56,  46,  15,  7,  6,  6,  1,  3,  3,  1,  1,  1,  0,  0
,Biogas,Electricity capacity (MW),  24,  27,  18,  29,  29,  218,  222,  289,  285,  335,  330,  372,  273,  194,  189,  191,  202,  180,  175,  164,  165,  165
,Geothermal,Electricity capacity (MW),  0,  0,  2,  2,  2,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Belarus,Total renewable energy,Electricity capacity (MW),  10,  11,  12,  12,  13,  13,  16,  20,  29,  29,  30,  35,  55,  74,  81,  97,  222,  300,  390,  415,  492,  601
,Hydropower,Electricity capacity (MW),  10,  10,  11,  11,  11,  12,  12,  12,  13,  13,  14,  14,  32,  32,  33,  34,  74,  95,  95,  95,  96,  96
,Renewable hydropower,Electricity capacity (MW),  10,  10,  11,  11,  11,  12,  12,  12,  13,  13,  14,  14,  32,  32,  33,  34,  74,  95,  95,  95,  96,  96
,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),  0,  1,  1,  1,  1,  1,  1,  2,  2,  2,  2,  2,  5,  7,  9,  22,  62,  84,  92,  112,  112,  112
,Onshore wind energy,Electricity capacity (MW),  0,  1,  1,  1,  1,  1,  1,  2,  2,  2,  2,  2,  5,  7,  9,  22,  62,  84,  92,  112,  112,  112
,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  6,  47,  80,  154,  154,  160,  269
,Solar photovoltaic,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  6,  47,  80,  154,  154,  160,  269
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  4,  6,  14,  14,  14,  19,  19,  35,  35,  35,  40,  41,  48,  53,  124,  124
,Solid biofuels,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  4,  6,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  16,  16,  86,  86
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  4,  6,  13,  13,  13,  13,  13,  13,  13,  13,  13,  13,  16,  16,  86,  86
,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Biogas,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  6,  6,  22,  22,  22,  27,  28,  33,  38,  39,  39
,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
Belgium,Total renewable energy,Electricity capacity (MW),  233,  278,  300,  408,  458,  789,  879,  989, 1 193, 2 011, 3 052, 4 198, 5 122, 5 765, 5 993, 6 363, 6 731, 7 428, 8 263, 9 511, 11 283, 12 402
,Hydropower,Electricity capacity (MW), 1 413, 1 421, 1 421, 1 420, 1 425, 1 412, 1 414, 1 417, 1 418, 1 417, 1 425, 1 426, 1 427, 1 429, 1 431, 1 422, 1 419, 1 417, 1 418, 1 414, 1 416, 1 417
,Renewable hydropower,Electricity capacity (MW),  103,  111,  111,  110,  115,  105,  107,  110,  111,  110,  118,  119,  120,  119,  121,  112,  109,  107,  108,  104,  106,  107
,Pumped storage,Electricity capacity (MW), 1 310, 1 310, 1 310, 1 310, 1 310, 1 307, 1 307, 1 307, 1 307, 1 307, 1 307, 1 307, 1 307, 1 310, 1 310, 1 310, 1 310, 1 310, 1 310, 1 310, 1 310, 1 310
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),  14,  26,  31,  67,  96,  167,  212,  276,  324,  608,  912, 1 069, 1 370, 1 780, 1 944, 2 176, 2 370, 2 788, 3 268, 3 863, 4 681, 4 780
,Onshore wind energy,Electricity capacity (MW),  14,  26,  31,  67,  96,  167,  212,  276,  324,  577,  716,  873,  989, 1 072, 1 236, 1 464, 1 658, 1 910, 2 082, 2 308, 2 419, 2 518
,Offshore wind energy,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  32,  197,  197,  381,  708,  708,  712,  712,  877, 1 186, 1 556, 2 262, 2 262
,Solar,Electricity capacity (MW),  0,  0,  1,  1,  1,  2,  2,  20,  62,  386, 1 007, 1 979, 2 647, 2 902, 3 015, 3 132, 3 329, 3 621, 4 000, 4 637, 5 575, 6 585
,Solar photovoltaic,Electricity capacity (MW),  0,  0,  1,  1,  1,  2,  2,  20,  62,  386, 1 007, 1 979, 2 647, 2 902, 3 015, 3 132, 3 329, 3 621, 4 000, 4 637, 5 575, 6 585
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  116,  141,  157,  230,  246,  515,  558,  583,  696,  907, 1 016, 1 031,  986,  965,  913,  943,  923,  912,  887,  906,  922,  931
,Solid biofuels,Electricity capacity (MW),  96,  113,  124,  188,  196,  364,  405,  418,  535,  663,  767,  821,  790,  764,  681,  716,  691,  685,  652,  665,  700,  709
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),  49,  51,  67,  67,  66,  70,  98,  89,  93,  109,  127,  120,  112,  124,  124,  124,  125,  125,  125,  126,  136,  135
,Other solid biofuels,Electricity capacity (MW),  47,  62,  57,  121,  130,  294,  307,  329,  442,  554,  640,  701,  678,  640,  558,  591,  566,  559,  526,  539,  564,  574
,Liquid biofuels,Electricity capacity (MW),  0,  0,  0,  0,  0,  95,  100,  97,  73,  139,  134,  81,  55,  50,  51,  49,  45,  45,  45,  45,  23,  23
,Biogas,Electricity capacity (MW),  20,  28,  33,  42,  50,  56,  53,  68,  88,  105,  115,  129,  141,  151,  181,  179,  188,  183,  190,  197,  199,  199
,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
Bosnia Herzg,Total renewable energy,Electricity capacity (MW), 1 508, 1 508, 1 508, 1 508, 1 538, 1 538, 1 538, 1 538, 1 569, 1 569, 1 699, 1 701, 1 702, 1 703, 1 719, 1 725, 1 776, 1 808, 1 886, 1 931, 2 002, 1 977
,Hydropower,Electricity capacity (MW), 1 928, 1 928, 1 928, 1 928, 1 958, 1 958, 1 958, 1 958, 1 989, 1 989, 2 118, 2 120, 2 121, 2 122, 2 131, 2 137, 2 180, 2 211, 2 236, 2 239, 2 249, 2 206
,Renewable hydropower,Electricity capacity (MW), 1 508, 1 508, 1 508, 1 508, 1 538, 1 538, 1 538, 1 538, 1 569, 1 569, 1 698, 1 700, 1 701, 1 702, 1 711, 1 717, 1 760, 1 791, 1 816, 1 819, 1 829, 1 786
,Pumped storage,Electricity capacity (MW),  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420,  420
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  51,  87,  135,  135
,Onshore wind energy,Electricity capacity (MW),,,,,,,,,,  0,  0,  0,  0,  0,  0,  0,  0,  0,  51,  87,  135,  135
,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  7,  8,  14,  16,  18,  22,  35,  53
,Solar photovoltaic,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  7,  8,  14,  16,  18,  22,  35,  53
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  3,  3,  3
,Solid biofuels,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1
,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Biogas,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  2,  2,  2
,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Total renewable energy,Electricity capacity (MW), 1 068,  893, 1 136, 1 658, 1 992, 1 999, 2 017, 2 048, 2 240, 2 481, 2 707, 2 950, 4 021, 4 076, 4 120, 4 137, 4 143, 4 294, 4 316, 4 322, 4 361, 4 452
,Hydropower,Electricity capacity (MW), 1 880, 1 705, 1 948, 2 515, 2 848, 2 848, 2 848, 2 876, 2 984, 3 001, 3 048, 3 108, 3 181, 3 203, 3 219, 3 219, 3 223, 3 372, 3 379, 3 378, 3 376, 3 376
,Renewable hydropower,Electricity capacity (MW), 1 016,  841, 1 084, 1 651, 1 984, 1 984, 1 984, 2 012, 2 120, 2 137, 2 184, 2 244, 2 317, 2 339, 2 355, 2 355, 2 359, 2 508, 2 515, 2 514, 2 512, 2 512
,Pumped storage,Electricity capacity (MW),  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864,  864
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),  0,  0,  0,  0,  1,  8,  27,  30,  114,  333,  488,  541,  677,  683,  699,  699,  699,  698,  699,  703,  703,  705
,Onshore wind energy,Electricity capacity (MW),,,,,  1,  8,  27,  30,  114,  333,  488,  541,  677,  683,  699,  699,  699,  698,  699,  703,  703,  705
,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  25,  154, 1 013, 1 020, 1 026, 1 029, 1 028, 1 036, 1 033, 1 048, 1 097, 1 186
,Solar photovoltaic,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  25,  154, 1 013, 1 020, 1 026, 1 029, 1 028, 1 036, 1 033, 1 048, 1 097, 1 186
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  52,  52,  52,  7,  7,  7,  6,  6,  6,  9,  10,  11,  14,  34,  40,  54,  57,  52,  69,  57,  48,  48
,Solid biofuels,Electricity capacity (MW),  52,  52,  52,  7,  7,  7,  6,  6,  6,  6,  6,  6,  14,  30,  30,  34,  19,  23,  33,  24,  15,  15
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,Electricity capacity (MW),  52,  52,  52,  7,  7,  7,  6,  6,  6,  6,  6,  6,  14,  30,  30,  34,  19,  23,  33,  24,  15,  15
,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Biogas,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,  4,  5,  0,  4,  10,  20,  38,  29,  36,  33,  33,  33
,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
Croatia,Total renewable energy,Electricity capacity (MW), 2 070, 2 070, 2 057, 2 067, 2 080, 2 076, 2 087, 2 085, 2 088, 2 158, 2 218, 2 274, 2 332, 2 475, 2 577, 2 713, 2 793, 2 916, 2 979, 3 068, 3 255, 3 454
,Hydropower,Electricity capacity (MW), 2 067, 2 067, 2 054, 2 064, 2 071, 2 065, 2 065, 2 063, 2 063, 2 080, 2 129, 2 129, 2 129, 2 178, 2 180, 2 195, 2 192, 2 193, 2 200, 2 200, 2 200, 2 202
,Renewable hydropower,Electricity capacity (MW), 2 067, 2 067, 2 054, 2 064, 2 071, 2 065, 2 065, 2 063, 2 063, 2 080, 2 129, 2 129, 2 129, 2 178, 2 180, 2 195, 2 192, 2 193, 2 200, 2 200, 2 200, 2 202
,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),  0,  0,  0,  0,  6,  6,  17,  17,  17,  70,  79,  130,  180,  254,  339,  418,  483,  576,  586,  646,  801,  988
,Onshore wind energy,Electricity capacity (MW),,,,,  6,  6,  17,  17,  17,  70,  79,  130,  180,  254,  339,  418,  483,  576,  586,  646,  801,  988
,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  19,  33,  48,  56,  60,  68,  85,  109,  109
,Solar photovoltaic,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  19,  33,  48,  56,  60,  68,  85,  109,  109
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  3,  3,  3,  3,  3,  5,  5,  5,  8,  8,  10,  15,  19,  24,  25,  53,  63,  87,  115,  127,  135,  145
,Solid biofuels,Electricity capacity (MW),  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  6,  7,  7,  8,  25,  26,  42,  65,  76,  80,  90
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,Electricity capacity (MW),  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  6,  7,  7,  8,  25,  26,  42,  65,  76,  80,  90
